,age,sex,bmi,children,smoker,region,expenses
560,46,female,20.0,2,no,northwest,9193.84
1285,47,female,24.3,0,no,northeast,8534.67
1142,52,female,24.9,0,no,southeast,27117.99
969,39,female,34.3,5,no,southeast,8596.83
486,54,female,21.5,3,no,northwest,12475.35
170,63,male,41.5,0,no,southeast,13405.39
277,22,female,24.3,0,no,southwest,2150.47
1033,18,male,21.6,0,yes,northeast,13747.87
209,40,male,41.2,1,no,northeast,6610.11
947,37,male,34.2,1,yes,northeast,39047.29
140,34,male,22.4,2,no,northeast,27375.9
1140,50,male,37.1,1,no,southeast,9048.03
1106,49,female,29.9,0,no,northwest,8988.16
199,64,female,39.3,0,no,northeast,14901.52
932,46,male,25.8,5,no,southwest,10096.97
316,50,male,32.2,0,no,northwest,8835.26
1207,36,male,33.4,2,yes,southwest,38415.47
10,25,male,26.2,0,no,northeast,2721.32
147,51,female,37.7,1,no,southeast,9877.61
1240,52,male,41.8,2,yes,southeast,47269.85
282,30,male,27.6,1,no,northeast,4237.13
477,25,male,35.6,0,no,northwest,2534.39
1334,18,female,31.9,0,no,northeast,2205.98
859,57,male,28.1,0,no,southwest,10965.45
380,27,female,18.0,2,yes,northeast,15006.58
390,48,male,35.6,4,no,northeast,10736.87
425,45,male,24.3,5,no,southeast,9788.87
892,54,male,24.0,0,no,northeast,10422.92
481,49,male,37.5,2,no,southeast,9304.7
990,26,female,19.8,1,no,southwest,3378.91
135,22,female,28.1,0,no,southeast,2155.68
377,24,male,40.2,0,yes,southeast,38126.25
322,34,male,30.8,0,yes,southwest,35491.64
582,39,male,45.4,2,no,southeast,6356.27
526,19,female,30.6,2,no,northwest,24059.68
1026,19,male,26.0,1,yes,northwest,16450.89
532,59,male,29.7,2,no,southeast,12925.89
158,30,male,35.5,0,yes,southeast,36950.26
1158,20,female,30.6,0,no,northeast,2459.72
420,64,male,33.9,0,yes,southeast,46889.26
1161,34,male,42.1,2,no,southeast,5124.19
354,18,female,38.3,0,no,southeast,14133.04
785,35,female,27.7,3,no,southwest,6414.18
1283,18,male,30.0,1,no,southeast,1720.35
857,25,male,24.1,0,yes,northwest,15817.99
921,62,female,33.2,0,no,southwest,13462.52
802,21,male,22.3,1,no,southwest,2103.08
96,54,female,30.8,3,no,southwest,12105.32
382,55,male,33.0,0,no,southeast,20781.49
1151,58,female,36.5,0,no,northwest,12235.84
1111,38,male,38.4,3,yes,southeast,41949.24
467,56,female,33.8,2,no,northwest,12643.38
156,48,male,24.4,0,yes,southeast,21223.68
1141,41,female,32.6,3,no,southwest,7954.52
908,63,male,39.8,3,no,southwest,15170.07
620,30,male,31.4,1,no,southwest,3659.35
339,46,female,27.7,1,no,southeast,8232.64
497,45,male,28.7,2,no,southwest,8027.97
435,60,male,33.1,3,no,southeast,13919.82
1148,55,male,21.5,1,no,southwest,10791.96
554,25,female,41.3,0,no,northeast,17878.9
458,56,male,39.6,0,no,southwest,10601.41
342,60,female,27.6,0,no,northeast,13217.09
308,58,male,34.9,0,no,northeast,11944.59
1128,34,male,32.8,1,no,southwest,14358.36
503,19,male,30.3,0,yes,southeast,32548.34
1197,41,male,33.6,0,no,southeast,5699.84
693,24,male,23.7,0,no,northwest,2352.97
1297,28,female,26.5,2,no,southeast,4340.44
634,51,male,39.7,1,no,southwest,9391.35
1022,47,male,36.1,1,yes,southeast,42211.14
178,46,female,28.9,2,no,southwest,8823.28
287,63,female,26.2,0,no,northwest,14256.19
1290,38,female,20.0,2,no,northeast,7133.9
1113,28,female,26.3,3,no,northwest,5312.17
294,25,male,26.8,3,no,southwest,3906.13
471,18,female,30.1,0,no,northeast,2203.47
987,45,female,27.6,1,no,northwest,28340.19
993,38,male,28.3,1,no,southeast,5484.47
482,18,female,31.4,0,no,southeast,1622.19
1094,50,female,33.7,4,no,southwest,11299.34
88,46,female,27.7,0,no,northwest,8026.67
746,34,male,27.0,2,no,southwest,11737.85
926,19,female,23.4,2,no,southwest,2913.57
527,51,female,25.8,1,no,southwest,9861.03
915,24,female,34.0,0,no,southeast,2473.33
558,35,female,34.1,3,yes,northwest,39983.43
759,18,male,38.2,0,yes,southeast,36307.8
706,51,female,38.1,0,yes,southeast,44400.41
290,28,female,33.4,0,no,southwest,3172.02
285,46,male,26.6,1,no,southeast,7742.11
673,41,female,31.0,0,no,southeast,6185.32
1268,20,female,33.3,0,no,southwest,1880.49
1188,43,female,25.3,1,yes,northeast,21771.34
1224,41,male,23.9,1,no,northeast,6858.48
266,40,male,19.8,1,yes,southeast,17179.52
327,45,male,36.5,2,yes,northwest,42760.5
348,36,female,29.9,1,no,southeast,5478.04
433,60,female,30.5,0,no,southwest,12638.2
59,34,female,37.3,2,no,northwest,5989.52
716,49,female,22.6,1,no,northwest,9566.99
1264,49,female,33.3,2,no,northeast,10370.91
411,44,female,20.2,1,yes,northeast,19594.81
867,57,male,43.7,1,no,southwest,11576.13
811,33,female,42.9,3,no,northwest,6360.99
451,30,male,24.1,1,no,northwest,4032.24
680,21,female,17.4,1,no,southwest,2585.27
333,56,female,28.8,0,no,northeast,11658.38
514,39,male,28.3,1,yes,southwest,21082.16
1115,55,male,32.7,1,no,southeast,10807.49
578,52,male,30.2,1,no,southwest,9724.53
695,26,female,40.2,0,no,northwest,3201.25
809,25,male,25.8,1,no,northeast,3309.79
432,42,male,26.9,0,no,southwest,5969.72
1010,48,female,22.8,0,no,southwest,8269.04
810,46,female,30.8,3,no,southwest,9414.92
966,51,male,24.8,2,yes,northwest,23967.38
328,64,female,33.8,1,yes,southwest,47928.03
590,58,female,29.0,0,no,southwest,11842.44
318,44,female,27.6,0,no,northwest,7421.19
1034,61,male,38.4,0,no,northwest,12950.07
83,48,female,41.2,4,no,northwest,11033.66
129,38,male,34.7,2,no,southwest,6082.41
1159,32,female,41.1,0,no,southwest,3989.84
1219,38,female,30.2,3,no,northwest,7537.16
737,26,male,23.7,2,no,southwest,3484.33
171,49,male,30.3,0,no,southwest,8116.68
583,32,female,23.7,1,no,southeast,17626.24
260,58,female,25.2,0,no,southwest,11837.16
701,50,female,44.7,0,no,northeast,9541.7
672,36,male,29.7,0,no,southeast,4399.73
1163,18,female,28.2,0,no,northeast,2200.83
1103,58,male,36.1,0,no,southeast,11363.28
1295,20,male,22.0,1,no,southwest,1964.78
332,61,female,31.2,0,no,northwest,13429.04
355,46,male,27.6,0,no,southwest,24603.05
138,54,female,31.9,3,no,southeast,27322.73
381,55,male,30.7,0,yes,northeast,42303.69
292,25,male,45.5,2,yes,southeast,42112.24
1090,47,male,36.2,0,yes,southeast,41676.08
1075,32,female,29.6,1,no,southeast,4562.84
141,26,male,32.5,1,no,northeast,3490.55
676,55,female,40.8,3,no,southeast,12485.8
626,36,male,28.9,3,no,northeast,6748.59
549,43,female,46.2,0,yes,southeast,45863.21
139,22,female,36.0,0,no,southwest,2166.73
1173,38,male,29.3,2,no,northwest,6457.84
1035,54,female,23.0,3,no,southwest,12094.48
224,42,male,24.6,0,yes,southeast,19515.54
984,20,male,30.1,5,no,northeast,4915.06
274,25,male,27.6,0,no,northwest,2523.17
323,57,male,40.9,0,no,northeast,11566.3
1008,25,male,25.0,2,no,northeast,23241.47
409,32,male,30.0,1,no,southeast,4074.45
325,40,male,34.1,1,no,northeast,6600.21
584,19,male,20.7,0,no,southwest,1242.82
730,35,male,24.4,3,yes,southeast,19362.0
1185,45,male,23.6,2,no,northeast,8603.82
536,33,female,38.9,3,no,southwest,5972.38
1243,28,female,33.1,0,no,southeast,3171.61
705,33,female,32.9,2,no,southwest,5375.04
1330,57,female,25.7,2,no,southeast,12629.17
762,33,male,27.1,1,yes,southwest,19040.88
823,44,female,29.8,2,no,southeast,8219.2
933,45,female,35.3,0,no,southwest,7348.14
485,31,female,31.1,0,no,northeast,4347.02
613,34,female,19.0,3,no,northeast,6753.04
714,24,female,22.6,0,no,southwest,2457.5
589,38,female,30.7,1,no,southeast,5976.83
644,43,male,35.3,2,no,southeast,18806.15
602,56,female,25.3,0,no,southwest,11070.54
731,53,male,21.4,1,no,southwest,10065.41
321,26,female,29.6,4,no,northeast,24671.66
479,23,male,32.6,0,no,southeast,1824.29
1046,43,female,25.1,0,no,northeast,7325.05
682,39,male,35.3,2,yes,southwest,40103.89
1037,45,female,30.5,1,yes,northwest,39725.52
490,19,female,32.9,0,no,southwest,1748.77
39,60,male,39.9,0,yes,southwest,48173.36
30,22,male,35.6,0,yes,southwest,35585.58
242,55,female,26.8,1,no,southwest,35160.13
723,19,male,35.4,0,no,southwest,1263.25
944,62,male,39.9,0,no,southeast,12982.87
136,19,male,34.1,0,no,southwest,1261.44
310,50,male,26.6,0,no,southwest,8444.47
1117,25,male,33.3,2,yes,southeast,36124.57
1079,63,male,33.7,3,no,southeast,15161.53
1333,50,male,31.0,3,no,northwest,10600.55
1198,40,male,29.4,1,no,northwest,6393.6
624,59,male,28.8,0,no,northwest,12129.61
1328,23,female,24.2,2,no,northeast,22395.74
1201,46,male,40.4,2,no,northwest,8733.23
3,33,male,22.7,0,no,northwest,21984.47
111,55,female,29.7,2,no,southwest,11881.36
745,50,female,30.1,1,no,northwest,9910.36
1155,36,female,22.1,3,no,northeast,7228.22
847,23,male,50.4,1,no,southeast,2438.06
1277,32,female,29.7,0,no,northwest,4357.04
986,43,male,30.1,3,no,northwest,8410.05
922,38,male,31.0,1,no,southwest,5488.26
376,39,female,24.9,3,yes,northeast,21659.93
862,55,female,33.5,2,no,northwest,12269.69
453,20,male,29.7,0,no,northwest,1769.53
828,41,male,30.8,3,yes,northeast,39597.41
314,27,female,31.4,0,yes,southwest,34838.87
439,26,male,29.5,0,no,northeast,2897.32
442,18,male,43.0,0,no,southeast,1149.4
1085,39,female,18.3,5,yes,southwest,19023.26
319,32,male,37.3,1,no,northeast,4667.61
889,57,male,33.6,1,no,northwest,11945.13
1232,54,female,24.6,3,no,northwest,12479.71
5,31,female,25.7,0,no,southeast,3756.62
100,41,female,31.6,0,no,southwest,6186.13
424,48,male,30.2,2,no,southwest,8968.33
787,21,male,36.9,0,no,northwest,1917.32
631,24,male,29.3,0,no,southwest,1977.82
643,23,female,35.0,3,no,northwest,4466.62
807,19,female,36.6,0,no,northwest,2136.88
423,25,male,30.6,0,no,northeast,2727.4
1007,47,male,28.2,3,yes,northwest,24915.22
772,44,female,36.5,0,no,northeast,12797.21
621,37,male,34.1,4,yes,southwest,40182.25
1093,22,female,30.4,0,yes,northwest,33907.55
493,61,male,43.4,0,no,southwest,12574.05
227,58,female,41.9,0,no,southeast,24227.34
1005,29,male,31.7,2,no,northwest,4433.39
651,53,female,39.6,1,no,southeast,10579.71
946,42,male,35.8,2,no,southwest,7160.09
553,52,female,31.7,2,no,northwest,11187.66
66,61,female,39.1,2,no,southwest,14235.07
844,53,male,30.5,0,no,northeast,10072.06
67,40,male,26.3,1,no,northwest,6389.38
720,51,female,40.7,0,no,northeast,9875.68
211,40,male,30.9,4,no,northwest,8162.72
12,23,male,34.4,0,no,southwest,1826.84
630,53,male,36.1,1,no,southwest,10085.85
1311,33,female,26.7,0,no,northwest,4571.41
299,48,female,28.9,1,no,northwest,9249.5
573,62,female,36.9,1,no,northeast,31620.0
529,18,male,25.5,0,no,northeast,1708.0
939,53,male,29.5,0,no,southeast,9487.64
1204,18,female,27.3,3,yes,southeast,18223.45
824,60,male,24.3,0,no,northwest,12523.6
1062,59,male,41.1,1,yes,southeast,48970.25
736,37,female,38.4,0,yes,southeast,40419.02
528,46,male,39.4,1,no,northeast,8342.91
1205,35,male,17.9,1,no,northwest,5116.5
842,23,female,32.8,2,yes,southeast,36021.01
1251,19,male,19.8,0,no,southwest,1241.57
803,18,female,42.2,0,yes,southeast,38792.69
273,50,male,27.5,1,no,northeast,9617.66
579,25,female,23.5,0,no,northeast,3206.49
362,19,female,21.7,0,yes,southwest,13844.51
2,28,male,33.0,3,no,southeast,4449.46
6,46,female,33.4,1,no,southeast,8240.59
311,19,female,24.7,0,no,southwest,1737.38
754,24,male,33.6,4,no,northeast,17128.43
1320,31,male,31.1,3,no,northwest,5425.02
215,41,female,37.1,2,no,southwest,7371.77
548,25,female,28.6,0,no,northeast,3213.62
27,55,female,32.8,2,no,northwest,12268.63
1057,45,female,31.8,0,no,southeast,17929.3
1030,46,female,23.7,1,yes,northwest,21677.28
588,61,female,35.9,0,no,northeast,13635.64
872,42,male,24.9,0,no,southeast,5966.89
914,33,male,24.6,2,no,northwest,5257.51
679,49,female,23.2,2,no,northwest,10156.78
256,56,male,33.6,0,yes,northwest,43921.18
25,59,female,27.7,3,no,southeast,14001.13
336,60,male,25.7,0,no,southeast,12142.58
47,28,female,34.8,0,no,northwest,3556.92
106,19,female,28.4,1,no,southwest,2331.52
1269,45,male,27.5,3,no,southwest,8615.3
55,58,male,37.0,2,yes,northwest,47496.49
649,58,female,33.0,0,no,northeast,12430.95
213,34,female,26.7,1,no,southeast,5002.78
120,44,male,37.1,2,no,southwest,7740.34
697,41,male,35.8,1,yes,southeast,40273.65
1244,18,male,33.3,0,no,southeast,1135.94
72,53,female,28.1,3,no,southwest,11741.73
628,58,male,38.0,0,no,southwest,11365.95
978,45,female,40.0,3,no,northeast,9704.67
45,55,male,37.3,0,no,southwest,20630.28
1306,29,female,21.9,0,yes,northeast,16115.3
523,38,female,37.7,0,no,southeast,5397.62
938,18,male,26.2,2,no,southeast,2304.0
1275,57,male,23.7,0,no,southwest,10959.33
638,39,male,26.4,0,yes,northeast,20149.32
533,37,male,36.2,0,no,southeast,19214.71
465,30,female,28.4,1,yes,southeast,19521.97
1096,51,female,35.0,2,yes,northeast,44641.2
1144,50,male,32.3,2,no,southwest,9630.4
1169,37,female,34.1,1,no,northwest,6112.35
60,43,male,27.4,3,no,northeast,8606.22
92,59,male,29.8,3,yes,northeast,30184.94
1146,60,male,32.8,0,yes,southwest,52590.83
194,18,male,34.4,0,no,southeast,1137.47
280,40,female,28.1,1,yes,northeast,22331.57
359,18,female,20.8,0,no,southeast,1607.51
519,31,male,30.9,0,no,northeast,3857.76
1031,55,female,35.2,0,yes,southeast,44423.8
1004,47,male,19.2,1,no,northeast,8627.54
182,22,male,20.0,3,no,northeast,4005.42
110,54,male,33.6,1,no,northwest,10825.25
1107,50,female,26.2,2,no,northwest,10493.95
1220,30,female,21.9,1,no,northeast,4718.2
204,46,male,22.3,0,no,southwest,7147.11
1105,54,female,31.2,0,no,southeast,10338.93
1006,28,male,29.3,2,no,northeast,4438.26
545,49,male,25.8,2,yes,northwest,23807.24
1102,29,male,38.9,1,no,southeast,3471.41
718,51,female,36.7,2,no,northwest,10848.13
711,50,female,23.5,2,no,southeast,10107.22
909,32,female,24.6,0,yes,southwest,17496.31
183,44,female,26.4,0,no,northwest,7419.48
137,22,male,25.2,0,no,northwest,2045.69
1013,48,male,32.3,1,no,northwest,8765.25
80,31,male,26.9,1,no,northeast,4441.21
1088,52,male,47.7,1,no,southeast,9748.91
985,44,female,25.8,1,no,southwest,7624.63
541,20,female,31.8,2,no,southeast,3056.39
596,42,female,29.5,2,no,southeast,7640.31
480,63,male,41.3,3,no,northwest,15555.19
165,47,male,28.2,4,no,northeast,10407.09
248,19,male,20.9,1,no,southwest,1832.09
307,30,female,33.3,1,no,southeast,4151.03
948,42,male,31.3,0,no,northwest,6358.78
861,38,female,28.0,3,no,southwest,7151.09
334,43,female,35.7,2,no,northeast,19144.58
97,55,male,38.3,0,no,southeast,10226.28
953,44,male,30.2,2,yes,southwest,38998.55
898,18,female,40.3,0,no,southeast,1634.57
1001,24,male,32.7,0,yes,southwest,34472.84
940,18,male,23.2,0,no,southeast,1121.87
852,46,female,35.5,0,yes,northeast,42111.66
1196,19,female,30.0,0,yes,northwest,33307.55
704,47,female,29.5,1,no,northwest,8930.93
1213,52,female,33.3,2,no,southwest,10806.84
302,56,female,37.5,2,no,southeast,12265.51
1099,25,female,34.0,1,no,southeast,3227.12
388,26,female,22.6,0,no,northwest,3176.82
235,40,female,22.2,2,yes,southeast,19444.27
1193,48,female,36.6,0,no,northwest,8671.19
996,39,female,34.1,3,no,southwest,7418.52
305,29,male,33.3,2,no,northwest,19442.35
958,43,male,35.0,1,yes,northeast,41034.22
1087,57,male,31.5,0,no,northwest,11353.23
249,29,male,29.0,1,no,northeast,4040.56
942,18,female,40.2,0,no,northeast,2217.47
924,43,male,23.2,0,no,southwest,6250.44
71,31,male,28.5,5,no,northeast,6799.46
94,64,female,31.3,2,yes,southwest,47291.06
677,60,male,31.4,3,yes,northwest,46130.53
33,63,male,28.3,0,no,northwest,13770.1
1284,61,male,36.3,1,yes,southwest,47403.88
448,40,female,29.6,0,no,southwest,5910.94
445,45,female,33.1,0,no,southwest,7345.08
1278,39,male,29.9,1,yes,northeast,22462.04
724,50,female,27.1,1,no,northeast,10106.13
843,57,female,29.8,0,yes,southeast,27533.91
77,21,male,35.5,0,no,southeast,1532.47
84,37,female,34.8,2,yes,southwest,39836.52
668,62,male,32.0,0,yes,northeast,45710.21
82,22,male,37.6,1,yes,southeast,37165.16
457,57,female,30.5,0,no,northwest,11840.78
1319,39,female,26.3,2,no,northwest,7201.7
918,61,female,28.2,0,no,southwest,13041.92
436,22,male,31.7,0,no,northeast,2254.8
727,29,female,21.8,1,yes,northeast,16657.72
1070,37,male,37.1,1,yes,southeast,39871.7
404,31,male,20.4,0,no,southwest,3260.2
1168,32,male,35.2,2,no,southwest,4670.64
1288,20,male,39.4,2,yes,southwest,38344.57
799,33,male,24.8,0,yes,northeast,17904.53
104,34,female,27.5,1,no,southwest,5003.85
609,30,male,37.8,2,yes,southwest,39241.44
666,49,male,28.7,1,no,southwest,8703.46
1203,51,male,32.3,1,no,northeast,9964.06
62,64,male,24.7,1,no,northwest,30166.62
281,54,male,40.6,3,yes,northeast,48549.18
816,24,female,24.2,0,no,northwest,2842.76
238,19,male,29.1,0,yes,northwest,17352.68
223,19,male,34.8,0,yes,southwest,34779.62
145,29,female,38.8,3,no,southeast,5138.26
1250,24,male,29.8,0,yes,northeast,18648.42
373,26,male,32.9,2,yes,southwest,36085.22
118,49,female,27.2,0,no,southeast,8601.33
1011,43,male,20.1,2,yes,southeast,18767.74
250,18,male,17.3,2,yes,northeast,12829.46
1289,44,male,34.3,1,no,southeast,7147.47
9,60,female,25.8,0,no,northwest,28923.14
449,35,male,38.6,1,no,southwest,4762.33
255,55,female,25.4,3,no,northeast,13047.33
593,21,female,21.9,1,yes,northeast,15359.1
389,24,female,30.2,3,no,northwest,4618.08
771,53,female,26.7,2,no,southwest,11150.78
1166,57,male,40.4,0,no,southeast,10982.5
557,34,male,34.2,0,no,southeast,3935.18
460,49,female,36.6,3,no,southeast,10381.48
1234,45,female,27.8,2,no,southeast,8515.76
144,30,male,28.7,3,yes,northwest,20745.99
501,43,male,26.0,0,no,northeast,6837.37
1237,58,female,28.2,0,no,northwest,12224.35
539,53,male,31.4,0,no,southeast,27346.04
177,54,male,29.2,1,no,southwest,10436.1
1291,19,male,34.9,0,yes,southwest,34828.65
756,39,female,22.8,3,no,northeast,7985.82
864,51,male,25.4,0,no,southwest,8782.47
949,25,male,29.7,3,yes,southwest,19933.46
722,62,male,37.4,0,no,southwest,12979.36
1331,23,female,33.4,0,no,southwest,10795.94
7,37,female,27.7,3,no,northwest,7281.51
886,57,male,29.0,0,yes,northeast,27218.44
667,40,female,32.8,2,yes,northwest,40003.33
1041,18,male,23.1,0,no,northeast,1704.7
357,47,male,29.8,3,no,northwest,9620.33
329,52,male,36.7,0,no,southwest,9144.57
873,43,male,30.1,1,no,southwest,6849.03
1029,37,female,17.3,2,no,northeast,6877.98
941,50,female,46.1,1,no,southeast,9549.57
258,51,male,24.4,4,no,northwest,11520.1
1054,27,female,21.5,0,no,northwest,3353.47
372,42,female,33.2,1,no,northeast,7639.42
963,46,male,24.8,3,no,northeast,9500.57
743,31,female,26.6,0,no,southeast,3757.84
142,34,male,25.3,2,yes,southeast,18972.5
525,18,female,33.9,0,no,southeast,11482.63
1329,52,male,38.6,2,no,southwest,10325.21
812,54,male,21.0,2,no,southeast,11013.71
934,32,male,37.2,2,no,southeast,4673.39
1273,35,male,27.6,1,no,southeast,4747.05
440,31,female,32.7,1,no,northwest,4738.27
531,62,female,31.7,0,no,northeast,14043.48
967,44,male,25.4,1,no,northwest,7518.03
226,28,male,38.1,0,no,southeast,2689.5
845,60,female,32.5,0,yes,southeast,45008.96
228,41,female,31.6,1,no,northeast,7358.18
1245,28,male,24.3,5,no,southwest,5615.37
212,24,male,28.5,2,no,northwest,3537.7
79,41,female,33.0,0,no,northwest,6571.02
148,53,female,37.4,1,no,northwest,10959.69
1042,20,male,30.7,0,yes,northeast,33475.82
671,29,female,31.2,0,no,northeast,3943.6
1036,22,male,37.1,2,yes,southeast,37484.45
998,33,female,36.3,3,no,northeast,6551.75
1165,35,female,26.1,0,no,northeast,5227.99
133,19,male,25.6,0,no,northwest,1632.56
1186,20,male,35.6,3,yes,northwest,37465.34
408,38,male,21.1,3,no,southeast,6652.53
1058,24,female,39.5,0,no,southeast,2480.98
507,21,male,23.8,2,no,northwest,3077.1
1068,63,male,21.7,1,no,northwest,14349.85
504,38,female,28.9,1,no,southeast,5974.38
882,21,female,22.1,0,no,northeast,2585.85
347,46,male,33.3,1,no,northeast,8334.46
386,58,female,39.1,0,no,southeast,11856.41
0,19,female,27.9,0,yes,southwest,16884.92
360,48,female,32.3,2,no,northeast,10043.25
1266,55,female,30.5,0,no,southwest,10704.47
475,61,male,28.3,1,yes,northwest,28868.66
1150,18,female,30.3,0,no,northeast,2203.74
965,35,male,27.1,1,no,southwest,4746.34
1081,32,male,27.8,1,no,northwest,4454.4
936,44,male,29.7,2,no,northeast,32108.66
767,42,female,29.0,1,no,southwest,7050.64
172,18,male,16.0,0,no,northeast,1694.8
450,39,male,29.6,4,no,southwest,7512.27
125,26,female,28.8,0,no,northeast,3385.4
970,50,female,28.2,3,no,southeast,10702.64
530,57,male,42.1,1,yes,southeast,48675.52
713,20,male,40.5,0,no,northeast,1984.45
90,21,female,39.5,0,no,southeast,2026.97
1335,18,female,36.9,0,no,southeast,1629.83
181,18,female,38.3,0,no,southeast,1631.82
813,28,male,22.5,2,no,northeast,4428.89
414,19,female,35.2,0,no,northwest,2134.9
251,63,female,32.2,2,yes,southwest,47305.31
69,28,male,24.0,3,yes,southeast,17663.14
131,61,female,22.0,0,no,northeast,13616.36
300,36,male,27.6,3,no,northeast,6746.74
826,56,male,31.8,2,yes,southeast,43813.87
326,27,female,23.2,1,no,southeast,3561.89
1308,25,female,30.2,0,yes,southwest,33900.65
982,31,male,25.9,3,yes,southwest,19199.94
499,62,female,39.2,0,no,southwest,13470.86
820,45,male,33.7,1,no,southwest,7445.92
364,21,female,21.9,2,no,southeast,3180.51
495,20,male,27.9,0,no,northeast,1967.02
1247,33,male,29.4,4,no,southwest,6059.17
338,50,male,32.3,1,yes,northeast,41919.1
421,61,male,35.9,0,yes,southeast,46599.11
164,37,male,29.6,0,no,northwest,5028.15
28,23,male,17.4,1,no,northwest,2775.19
516,20,male,35.3,1,no,southeast,27724.29
193,56,female,26.6,1,no,northwest,12044.34
783,50,female,27.6,1,yes,southwest,24520.26
968,21,male,25.7,2,no,northeast,3279.87
169,27,male,18.9,3,no,northeast,4827.9
879,37,female,29.5,2,no,southwest,6311.95
652,48,female,31.1,0,no,southeast,8280.62
173,35,female,34.8,1,no,southwest,5246.05
518,35,female,31.0,1,no,southwest,5240.77
1089,56,male,22.1,0,no,southwest,10577.09
1216,40,male,25.1,0,no,southeast,5415.66
491,61,female,25.1,0,no,southeast,24513.09
73,58,male,32.0,1,no,southeast,11946.63
1121,46,male,38.2,2,no,southeast,8347.16
587,34,female,30.2,1,yes,northwest,43943.88
962,63,female,35.2,1,no,southeast,14474.68
657,27,male,33.2,2,no,northwest,4058.71
234,39,male,24.5,2,no,northwest,6710.19
732,24,female,30.1,3,no,southwest,4234.93
214,45,female,30.9,2,no,southwest,8520.03
162,54,male,39.6,1,no,southwest,10450.55
132,53,female,35.9,2,no,southwest,11163.57
964,52,male,36.8,2,no,northwest,26467.1
910,22,male,28.3,1,no,northwest,2639.04
1101,53,male,28.6,3,no,southwest,11253.42
185,36,male,41.9,3,yes,northeast,43753.34
41,31,female,36.6,2,no,southeast,4949.76
692,20,male,32.4,1,no,northwest,2362.23
108,29,male,27.9,0,no,southeast,2867.12
38,35,male,36.7,1,yes,northeast,39774.28
568,49,female,31.9,5,no,southwest,11552.9
912,59,female,26.7,3,no,northwest,14382.71
1134,28,male,33.8,0,no,northwest,19673.34
1287,36,female,25.9,1,no,southwest,5472.45
483,51,female,39.5,1,no,southwest,9880.07
468,28,female,24.3,1,no,northeast,23288.93
24,37,male,28.0,2,no,northwest,6203.9
814,36,male,34.4,2,no,southeast,5584.31
839,59,female,31.4,0,no,northwest,12622.18
997,63,female,36.9,0,no,southeast,13887.97
1132,57,male,40.3,0,no,northeast,20709.02
