,age,sex,bmi,children,smoker,region,expenses
366,56,female,32.3,3,no,northeast,13430.27
505,37,male,30.9,3,no,northwest,6796.86
1178,23,female,34.9,0,no,northeast,2899.49
383,35,female,43.3,2,no,southeast,5846.92
734,59,female,32.1,3,no,southwest,14007.22
717,60,male,24.3,1,no,northwest,13112.6
1191,41,female,21.8,1,no,northeast,13725.47
454,32,male,46.5,2,no,southeast,4686.39
264,53,female,38.1,3,no,southeast,20463.0
943,19,male,22.6,0,no,northwest,1628.47
232,19,female,17.8,0,no,southwest,1727.79
444,56,male,26.7,1,yes,northwest,26109.33
395,46,male,19.9,0,no,northwest,7526.71
923,34,male,35.8,0,no,northwest,4320.41
176,38,male,27.8,2,no,northwest,6455.86
18,56,male,40.3,0,no,southwest,10602.39
1174,29,male,32.1,2,no,northwest,4433.92
874,44,male,21.9,3,no,northeast,8891.14
1018,54,female,35.8,3,no,northwest,12495.29
865,40,male,29.9,2,no,southwest,6600.36
595,46,female,33.7,1,no,northeast,8823.99
61,25,male,33.7,4,no,southeast,4504.66
272,41,male,37.1,2,no,northwest,7265.7
1084,62,female,30.5,2,no,northwest,15019.76
1258,55,male,37.7,3,no,northwest,30063.58
278,59,male,31.8,2,no,southeast,12928.79
1040,35,female,28.0,0,yes,northwest,20234.85
694,27,female,34.8,1,no,southwest,3578.0
368,44,male,32.0,2,no,northwest,8116.27
1233,58,male,23.3,0,no,southwest,11345.52
36,62,female,33.0,3,no,northwest,15612.19
735,49,female,34.8,1,no,northwest,9583.89
1023,18,male,23.3,1,no,southeast,1711.03
662,32,female,31.5,1,no,northeast,5148.55
1211,39,male,34.1,2,no,southeast,23563.02
1223,20,female,24.4,0,yes,southeast,26125.67
547,54,female,46.7,2,no,southwest,11538.42
1230,52,male,34.5,3,yes,northwest,60021.4
688,47,female,24.1,1,no,southwest,26236.58
738,23,male,31.7,3,yes,northeast,36189.1
191,36,female,26.2,0,no,southwest,4883.87
456,55,female,30.1,2,no,southeast,11881.97
393,49,male,31.4,1,no,northeast,9290.14
675,45,male,21.4,0,no,northwest,7222.79
760,22,female,34.6,2,no,northeast,3925.76
1317,18,male,53.1,0,no,southeast,1163.46
728,18,female,40.3,0,no,northeast,2217.6
419,63,female,27.0,0,yes,northwest,28950.47
375,23,female,28.3,0,yes,northwest,18033.97
412,26,female,17.2,2,yes,northeast,14455.64
74,44,male,27.4,2,no,southwest,7726.85
1254,34,female,27.7,0,no,southeast,4415.16
1190,31,female,32.8,2,no,northwest,5327.4
500,29,male,34.4,0,yes,southwest,36197.7
825,64,female,31.8,2,no,northeast,16069.08
1000,30,male,23.0,2,yes,northwest,17361.77
616,56,female,28.6,0,no,northeast,11658.12
114,52,male,32.2,3,no,northeast,11488.32
417,36,female,22.6,2,yes,southwest,18608.26
601,51,male,31.6,0,no,northwest,9174.14
604,19,female,28.3,0,yes,northwest,17468.98
1282,18,female,21.7,0,yes,northeast,14283.46
89,55,female,27.0,0,no,northwest,11082.58
848,27,female,24.1,0,no,southwest,2974.13
1027,23,male,18.7,0,no,northwest,21595.38
1281,47,female,27.6,2,yes,northwest,24535.7
753,58,female,22.8,0,no,southeast,11833.78
498,44,female,24.0,2,no,southeast,8211.1
1200,37,male,24.3,2,no,northwest,6198.75
1065,42,female,25.3,1,no,southwest,7045.5
1063,36,male,28.6,3,no,northwest,6548.2
11,62,female,26.3,0,yes,southeast,27808.73
396,43,female,34.4,3,no,southwest,8522.0
937,39,female,24.2,5,no,northwest,8965.8
555,28,male,23.8,2,no,southwest,3847.67
42,41,male,21.8,1,no,southeast,6272.48
841,59,male,24.7,0,no,northeast,12323.94
167,32,female,33.2,3,no,northwest,6128.8
416,52,male,34.1,0,no,southeast,9140.95
576,22,male,26.8,0,no,southeast,1665.0
834,36,male,33.8,1,no,northwest,5377.46
267,59,female,32.4,3,no,northeast,14590.63
1009,51,male,27.7,1,no,northeast,9957.72
426,38,female,27.3,1,no,northeast,6555.07
690,21,male,27.4,0,no,northeast,2104.11
544,54,male,30.2,0,no,northwest,10231.5
1255,42,female,37.9,0,no,southwest,6474.01
674,44,female,43.9,2,yes,southeast,46200.99
689,27,male,31.1,1,yes,southeast,34806.47
1181,24,female,29.9,0,no,northwest,2850.68
851,61,male,32.3,2,no,northwest,14119.62
1310,42,male,26.3,1,no,northwest,6940.91
159,50,female,27.8,3,no,southeast,19749.38
895,61,female,44.0,0,no,southwest,13063.88
1066,48,male,37.3,2,no,southeast,8978.19
257,38,female,40.2,0,no,southeast,5400.98
1332,52,female,44.7,3,no,southwest,11411.69
335,64,male,34.5,0,no,southwest,13822.8
1259,52,female,23.2,0,no,northeast,10197.77
15,19,male,24.6,1,no,southwest,1837.24
515,58,male,35.7,0,no,southwest,11362.76
324,29,male,27.2,0,no,southwest,2866.09
768,64,female,39.7,0,no,southwest,14319.03
607,59,female,23.7,0,yes,northwest,25678.78
1179,31,male,29.8,0,yes,southeast,19350.37
983,27,female,30.6,1,no,northeast,16796.41
917,45,male,22.9,0,yes,northeast,35069.37
905,26,female,29.4,2,no,northeast,4564.19
222,32,male,30.8,3,no,southwest,5253.52
179,41,female,33.2,3,no,northeast,8538.29
1049,49,male,30.9,0,yes,southwest,39727.61
99,38,male,19.3,0,yes,southwest,15820.7
836,36,male,31.5,0,no,southwest,4402.23
757,47,female,27.8,0,yes,southeast,23065.42
521,32,female,44.2,0,no,southeast,3994.18
761,23,male,35.2,1,no,southwest,2416.96
22,18,male,34.1,0,no,southeast,1137.01
356,46,male,43.9,3,no,southeast,8944.12
733,48,female,27.3,1,no,northeast,9447.25
1112,48,female,25.9,3,yes,southeast,24180.93
1241,64,male,37.0,2,yes,southeast,49577.66
611,38,female,34.8,2,no,southwest,6571.54
1139,19,female,32.5,0,yes,northwest,36898.73
340,24,female,27.6,0,no,southwest,18955.22
431,29,female,20.2,2,no,northwest,4906.41
973,19,female,40.5,0,no,southwest,1759.34
217,27,male,23.1,0,no,southeast,2483.74
911,18,male,31.7,0,yes,northeast,33732.69
203,27,female,36.1,0,yes,southeast,37133.9
1080,18,male,21.8,2,no,southeast,11884.05
1091,55,female,29.8,0,no,northeast,11286.54
93,35,male,34.8,2,no,northwest,5729.01
994,27,female,20.0,3,yes,northwest,16420.49
68,40,female,36.2,0,no,southeast,5920.1
1170,18,male,27.4,1,yes,northeast,17178.68
284,52,female,31.2,0,no,southwest,9625.92
696,53,female,32.3,2,no,northeast,29186.48
85,45,male,22.9,2,yes,northwest,21098.55
434,31,male,28.6,1,no,northwest,4243.59
989,24,female,20.5,0,yes,northeast,14571.89
153,42,female,23.4,0,yes,northeast,19964.75
75,57,male,34.0,0,no,northwest,11356.66
1164,41,female,28.3,1,no,northwest,7153.55
1336,21,female,25.8,0,no,southwest,2007.95
789,62,female,29.9,0,no,southeast,13457.96
580,59,male,25.5,1,no,northeast,12913.99
446,60,male,29.6,0,no,northeast,12731.0
703,34,female,26.4,1,no,northwest,5385.34
188,41,female,32.2,1,no,southwest,6775.96
271,50,male,34.2,2,yes,southwest,42856.84
1337,61,female,29.1,0,yes,northwest,29141.36
884,25,male,26.7,4,no,northwest,4877.98
236,18,female,26.7,0,no,southeast,1615.77
487,19,male,28.7,0,no,southwest,1253.94
1292,21,male,23.2,0,no,southeast,1515.34
559,19,male,35.5,0,no,northwest,1646.43
117,29,female,27.9,1,yes,southeast,19107.78
637,35,female,38.1,2,no,northeast,24915.05
1206,59,female,34.8,2,no,southwest,36910.61
801,64,female,36.0,0,no,southeast,14313.85
750,37,female,26.4,0,yes,southeast,19539.24
512,51,male,22.4,0,no,northeast,9361.33
633,40,male,22.7,2,no,northeast,7173.36
977,26,male,29.2,1,no,southeast,2902.91
1177,40,female,27.4,1,no,southwest,6496.89
907,44,female,32.3,1,no,southeast,7633.72
1214,27,female,31.3,1,no,northwest,3956.07
126,19,female,28.3,0,yes,southwest,17081.08
790,39,female,41.8,0,no,southeast,5662.23
829,39,male,21.9,1,no,northwest,6117.49
116,58,male,49.1,0,no,southeast,11381.33
473,47,female,33.3,0,no,northeast,20878.78
740,45,male,24.0,2,no,northeast,8604.48
1131,27,male,45.9,2,no,southwest,3693.43
950,57,male,18.3,0,no,northeast,11534.87
57,18,male,31.7,2,yes,southeast,34303.17
603,64,female,39.1,3,no,southeast,16085.13
786,60,male,37.0,0,no,northeast,12741.17
830,63,male,33.1,0,no,southwest,13393.76
119,37,female,23.4,2,no,northwest,6686.43
656,26,female,42.4,1,no,southwest,3410.32
1077,21,male,26.0,0,no,northeast,2102.26
669,40,female,29.8,1,no,southeast,6500.24
105,20,male,28.0,1,yes,northwest,17560.38
635,64,male,38.2,0,no,northeast,14410.93
369,18,male,30.4,3,no,northeast,3481.87
268,45,male,30.2,1,no,southwest,7441.05
655,52,female,25.3,2,yes,southeast,24667.42
819,33,female,35.5,0,yes,northwest,55135.4
935,59,female,27.5,0,no,southwest,12233.83
822,18,female,31.1,0,no,southeast,1621.88
866,18,male,37.3,0,no,southeast,1141.45
46,18,female,38.7,2,no,northeast,3393.36
349,19,male,27.8,0,no,northwest,1635.73
1156,19,male,44.9,0,yes,southeast,39722.75
991,38,female,27.8,2,no,northeast,7144.86
876,49,female,27.1,1,no,southwest,26140.36
773,19,female,28.9,0,yes,northwest,17748.51
195,19,male,30.6,0,no,northwest,1639.56
102,18,female,30.1,0,no,northeast,21344.85
4,32,male,28.9,0,no,northwest,3866.86
619,55,female,37.1,0,no,southwest,10713.64
1003,48,male,29.6,0,no,southwest,21232.18
571,18,female,37.3,1,no,southeast,2219.45
52,48,male,28.0,1,yes,southwest,23568.27
263,19,male,37.0,0,yes,northwest,36219.41
1061,57,male,27.9,1,no,southeast,11554.22
1222,50,male,25.3,0,no,southeast,8442.67
443,59,female,36.5,1,no,southeast,28287.9
1002,24,male,25.8,0,no,southwest,1972.95
1116,41,male,29.6,5,no,northeast,9222.4
782,51,male,36.0,1,no,southeast,9386.16
837,56,female,28.3,0,no,northeast,11657.72
1195,19,female,27.9,3,no,northwest,18838.7
691,47,male,36.2,1,no,southwest,8068.19
304,57,female,38.0,2,no,southwest,12646.21
341,62,male,30.0,0,no,northwest,13352.1
1053,47,male,29.8,3,yes,southwest,25309.49
313,49,male,35.9,0,no,southeast,8124.41
149,19,male,28.4,1,no,southwest,1842.52
124,47,female,33.9,3,no,northwest,10115.01
1189,23,female,28.0,0,no,southwest,13126.68
574,57,female,34.3,2,no,northeast,13224.06
50,18,female,35.6,0,no,northeast,2211.13
1050,44,female,37.0,1,no,northwest,8023.14
726,41,male,28.4,1,no,northwest,6664.69
833,58,male,34.4,0,no,northwest,11743.93
470,27,male,32.7,0,no,southeast,2497.04
971,34,female,23.6,0,no,northeast,4992.38
653,45,female,36.3,2,no,southeast,8527.53
399,18,female,38.2,0,no,southeast,1631.67
511,27,male,33.7,0,no,southeast,2498.41
320,34,male,25.3,1,no,northwest,4894.75
19,30,male,35.3,0,yes,southwest,36837.47
684,33,female,18.5,1,no,southwest,4766.02
35,19,male,20.4,0,no,northwest,1625.43
902,26,male,27.3,3,no,northeast,4661.29
827,36,male,28.0,1,yes,northeast,20773.63
1199,31,female,25.8,2,no,southwest,4934.71
407,47,female,23.6,1,no,southwest,8539.67
920,62,female,25.0,0,no,southwest,13451.12
537,46,female,30.2,2,no,southwest,8825.09
758,30,male,37.4,3,no,northeast,5428.73
245,54,male,30.0,0,no,northwest,24476.48
784,31,female,29.3,1,no,southeast,4350.51
489,53,male,31.2,1,no,northwest,10461.98
154,40,female,25.5,1,no,northeast,7077.19
961,29,female,25.9,0,no,southwest,3353.28
853,53,female,23.8,2,no,northeast,11729.68
625,29,female,26.0,0,no,northwest,3736.46
685,53,male,26.4,2,no,northeast,11244.38
569,48,male,40.6,2,yes,northwest,45702.02
1276,22,female,30.4,0,no,northeast,2741.95
17,23,male,23.8,0,no,northeast,2395.17
127,52,female,37.4,0,no,southwest,9634.54
927,57,female,20.1,1,no,southwest,12032.33
980,54,male,25.5,1,no,northeast,25517.11
1313,19,female,34.7,2,yes,southwest,36397.58
190,61,male,31.6,0,no,southeast,12557.61
992,50,female,31.6,2,no,southwest,10118.42
1307,32,male,28.1,4,yes,northwest,21472.48
606,27,female,25.2,0,no,northeast,3558.62
180,58,male,28.6,0,no,northwest,11735.88
301,53,female,22.6,3,yes,northeast,24873.38
496,31,female,23.6,2,no,southwest,4931.65
1157,23,female,23.2,2,no,northwest,14426.07
1326,42,female,32.9,0,no,northeast,7050.02
1110,54,female,32.3,1,no,northeast,11512.41
517,45,male,30.5,2,no,northwest,8413.46
1069,54,female,31.9,1,no,southeast,10928.85
476,24,male,28.5,0,yes,northeast,35147.53
157,18,male,25.2,0,yes,northeast,15518.18
16,52,female,30.8,1,no,northeast,10797.34
1072,21,male,31.3,0,no,northwest,1909.53
546,28,male,35.4,0,no,northeast,3268.85
658,48,female,35.9,1,no,northeast,26392.26
1100,33,female,19.1,2,yes,northeast,16776.3
1019,21,female,32.7,2,no,northwest,26018.95
1124,23,female,42.8,1,yes,northeast,40904.2
959,48,male,36.7,1,no,northwest,28468.92
1261,28,male,37.1,1,no,southwest,3277.16
283,55,female,32.4,1,no,northeast,11879.1
797,30,female,22.9,1,no,northeast,4719.52
225,55,male,33.9,3,no,southeast,11987.17
26,63,female,23.1,0,no,northeast,14451.84
437,35,male,28.9,3,no,southwest,5926.85
1301,62,male,30.9,3,yes,northwest,46718.16
229,47,male,25.5,2,no,northeast,9225.26
37,26,male,20.8,0,no,southwest,2302.3
749,28,male,30.9,0,no,northwest,3062.51
1045,43,female,24.7,2,yes,northwest,21880.82
469,18,female,24.1,1,no,southeast,2201.1
1145,52,male,32.8,3,no,northwest,11289.11
1315,18,male,28.3,1,no,northeast,11272.33
687,40,male,41.7,0,no,southeast,5438.75
1231,20,female,21.8,0,yes,southwest,20167.34
639,56,male,33.7,4,no,southeast,12949.16
1160,43,female,34.6,1,no,northwest,7727.25
1120,23,female,31.4,0,yes,southwest,34166.27
1217,29,male,37.3,2,no,southeast,4058.12
800,42,female,26.2,1,no,southeast,7046.72
160,42,female,26.6,0,yes,northwest,21348.71
956,54,male,30.8,1,yes,southeast,41999.52
821,26,male,17.7,0,no,northwest,2680.95
1138,33,male,30.3,0,no,southeast,3704.35
877,33,male,33.4,5,no,southeast,6653.79
913,44,female,27.5,1,no,southwest,7626.99
152,32,female,37.1,3,no,northeast,6334.34
1226,38,male,16.8,2,no,northeast,6640.54
509,57,female,28.7,0,no,southwest,11455.28
1125,63,female,25.1,0,no,northwest,14254.61
103,61,female,29.9,3,yes,southeast,30942.19
586,21,male,20.2,3,no,northeast,3861.21
1187,62,female,32.7,0,no,northwest,13844.8
53,36,male,34.4,0,yes,southeast,37742.58
151,48,male,29.7,0,no,southeast,7789.64
403,49,male,32.3,3,no,northwest,10269.46
207,35,male,27.7,2,yes,northeast,20984.09
1300,45,male,30.4,0,yes,southeast,62592.87
8,37,male,29.8,2,no,northeast,6406.41
1014,38,female,27.6,0,no,southwest,5383.54
1060,24,male,32.0,0,no,southeast,1981.58
452,24,male,23.4,0,no,southwest,1969.61
253,27,male,30.3,3,no,southwest,4260.74
896,43,female,20.0,2,yes,northeast,19798.05
1172,56,female,41.9,0,no,southeast,11093.62
880,22,male,34.8,3,no,southwest,3443.06
1265,64,male,23.8,0,yes,southeast,26926.51
623,18,male,33.5,0,yes,northeast,34617.84
345,34,female,29.3,3,no,southeast,6184.3
1248,18,female,39.8,0,no,southeast,1633.96
262,52,male,24.3,3,yes,northeast,24869.84
150,35,male,24.1,1,no,northwest,5125.22
472,19,female,29.8,0,no,southwest,1744.47
640,33,male,42.4,5,no,southwest,6666.24
1325,61,male,33.5,0,no,northeast,13143.34
1262,41,female,28.1,1,no,southeast,6770.19
550,63,male,30.8,0,no,southwest,13390.56
928,62,female,39.2,0,no,southeast,13470.8
488,44,female,38.1,0,yes,southeast,48885.14
1210,36,male,30.9,1,no,northwest,5373.36
146,46,male,30.5,3,yes,northwest,40720.55
402,64,female,33.0,0,no,northwest,14692.67
954,34,male,27.8,1,yes,northwest,20009.63
1257,54,female,27.6,1,no,northwest,11305.93
659,57,female,28.8,4,no,northeast,14394.4
463,56,male,25.9,0,no,northeast,11165.42
186,26,female,29.9,2,no,southeast,3981.98
1147,20,female,31.9,0,no,northwest,2261.57
608,28,male,27.0,2,no,northeast,4435.09
143,29,male,29.7,2,no,northwest,18157.88
751,21,male,29.0,0,no,northwest,1906.36
981,34,male,21.4,0,no,northeast,4500.34
197,45,female,28.6,2,no,southeast,8516.83
883,51,female,37.1,3,yes,northeast,46255.11
279,51,female,21.6,1,no,southeast,9855.13
293,22,female,28.8,0,no,southeast,2156.75
1218,46,female,34.6,1,yes,southwest,41661.6
400,51,female,20.6,0,no,southwest,9264.8
122,20,female,29.0,0,no,northwest,2257.48
202,60,female,24.0,0,no,northwest,13012.21
835,42,male,36.0,2,no,southeast,7160.33
246,60,female,38.1,0,no,southeast,12648.7
1272,43,male,25.5,5,no,southeast,14478.33
1260,32,female,20.5,0,no,northeast,4544.23
1153,35,female,35.8,1,no,northwest,5630.46
384,44,male,22.1,2,no,northeast,8302.54
854,49,female,23.8,3,yes,northeast,24106.91
219,24,female,23.2,0,no,southeast,25081.77
641,42,male,28.3,3,yes,northwest,32787.46
1,18,male,33.8,1,no,southeast,1725.55
112,37,male,30.8,0,no,southwest,4646.76
698,56,male,33.7,0,no,northwest,10976.25
1279,25,female,26.8,2,no,northwest,4189.11
951,51,male,42.9,2,yes,southeast,47462.89
1252,20,male,27.3,0,yes,southwest,16232.85
1208,37,female,25.6,1,yes,northeast,20296.86
441,33,female,33.5,0,yes,southwest,37079.37
1136,44,female,25.0,1,no,southwest,7623.52
663,18,male,33.7,0,no,southeast,1136.4
1225,33,female,39.8,1,no,southeast,4795.66
317,54,male,32.8,0,no,northeast,10435.07
648,18,male,28.5,0,no,northeast,1712.23
709,36,female,27.7,0,no,northeast,5469.01
972,22,female,20.2,0,no,northwest,2527.82
627,33,male,42.5,1,no,southeast,11326.71
632,29,female,35.5,0,no,southeast,3366.67
1305,24,female,27.7,0,no,southeast,2464.62
1236,63,female,21.7,0,no,northeast,14449.85
795,27,male,28.5,0,yes,northwest,18310.74
645,48,male,30.8,3,no,northeast,10141.14
1012,61,female,33.3,4,no,southeast,36580.28
556,46,male,33.4,1,no,northeast,8334.59
681,19,male,20.3,0,no,southwest,1242.26
577,31,female,38.1,1,yes,northeast,58571.07
1109,45,male,20.4,3,no,southeast,8605.36
1183,48,female,27.4,1,no,northeast,9447.38
524,42,male,26.1,1,yes,southeast,38245.59
1059,32,male,33.8,1,no,northwest,4462.72
540,34,female,38.0,3,no,southwest,6196.45
1194,31,female,21.8,0,no,northwest,4134.08
748,47,female,36.0,1,no,southwest,8556.91
1239,25,female,42.1,1,no,southeast,3238.44
484,48,male,34.3,3,no,southwest,9563.03
95,28,female,37.6,1,no,southeast,3766.88
1020,51,male,37.0,0,no,southwest,8798.59
563,50,male,44.8,1,no,southeast,9058.73
742,53,male,34.1,0,yes,northeast,43254.42
863,36,female,19.9,0,no,northeast,5458.05
891,36,female,29.0,4,no,southeast,7243.81
1038,22,male,28.9,0,no,northeast,2250.84
206,59,male,26.4,0,no,southeast,11743.3
392,48,male,31.4,1,no,northeast,8964.06
794,39,female,31.9,2,no,northwest,7209.49
870,50,male,36.2,0,no,southwest,8457.82
397,21,male,31.0,0,no,southeast,16586.5
766,47,male,32.3,1,no,southwest,8062.76
1229,58,male,30.3,0,no,northeast,11938.26
1028,54,male,31.6,0,no,southwest,9850.43
642,61,male,33.9,0,no,northeast,13143.86
612,18,female,33.2,0,no,northeast,2207.7
960,19,female,39.6,1,no,northwest,2730.11
725,30,female,39.1,3,yes,southeast,40932.43
683,53,male,24.3,0,no,northwest,9863.47
98,56,male,20.0,0,yes,northeast,22412.65
804,23,male,26.5,0,no,southeast,1815.88
406,33,female,24.3,0,no,southeast,4185.1
502,51,male,23.2,1,yes,southeast,22218.11
1071,63,male,31.4,0,no,northeast,13974.46
1056,48,female,28.9,0,no,southwest,8277.52
929,41,male,34.2,1,no,southeast,6289.75
779,53,male,28.9,0,no,northwest,9869.81
200,19,female,32.1,0,no,northwest,2130.68
134,20,female,28.8,0,no,northeast,2457.21
1051,64,male,26.4,0,no,northeast,14394.56
40,24,female,26.6,0,no,northeast,3046.06
1017,26,female,34.2,2,no,southwest,3987.93
230,42,female,36.2,1,no,northwest,7443.64
378,64,female,30.1,3,no,northwest,16455.71
288,59,female,36.8,1,yes,northeast,47896.79
418,64,male,39.2,1,no,southeast,14418.28
391,19,female,37.4,0,no,northwest,2138.07
592,20,male,31.1,2,no,southeast,2566.47
1162,30,male,38.8,1,no,southeast,18963.17
1086,55,male,29.0,0,no,northeast,10796.35
647,40,female,23.4,3,no,northeast,8252.28
1152,43,female,32.6,3,yes,southeast,40941.29
520,50,female,27.4,0,no,northeast,25656.58
64,20,female,22.4,0,yes,northwest,14711.74
14,27,male,42.1,0,yes,southeast,39611.76
1180,42,female,41.3,1,no,northeast,7650.77
1064,29,female,25.6,4,no,southwest,5708.87
492,18,female,25.1,0,no,northeast,2196.47
379,62,male,31.5,1,no,southeast,27000.98
187,30,female,30.9,3,no,southwest,5325.65
763,27,male,26.0,0,no,northeast,3070.81
216,53,female,26.6,0,no,northwest,10355.64
791,19,male,27.6,0,no,southwest,1252.41
1076,47,female,32.0,1,no,southwest,8551.35
878,41,male,28.8,1,no,southwest,6282.24
337,62,male,27.6,1,no,northwest,13937.67
719,58,female,33.4,0,no,northwest,12231.61
295,18,male,23.0,0,no,northeast,1704.57
1016,19,female,24.6,1,no,northwest,2709.24
455,59,male,37.4,0,no,southwest,21797.0
815,20,female,31.5,0,no,southeast,1877.93
269,49,male,25.8,1,no,northeast,9282.48
995,39,female,23.3,3,no,northeast,7986.48
201,48,female,32.2,1,no,southeast,8871.15
161,18,female,36.9,0,yes,southeast,36149.48
729,41,female,36.1,1,no,southeast,6781.35
401,47,male,47.5,1,no,southeast,8083.92
702,53,male,41.5,0,no,southeast,9504.31
1129,19,female,18.6,0,no,southwest,1728.9
565,19,female,30.5,0,no,northwest,2128.43
1021,22,female,31.0,3,yes,southeast,35595.59
1025,21,female,34.6,0,no,southwest,2020.18
1104,37,male,29.8,0,no,southwest,20420.6
205,28,female,28.9,1,no,northeast,4337.74
34,28,male,36.4,1,yes,southwest,51194.56
775,51,male,33.3,3,no,southeast,10560.49
508,24,female,25.3,0,no,northeast,3044.21
1318,35,male,39.7,4,no,northeast,19496.72
91,53,female,24.8,1,no,northwest,10942.13
897,19,male,25.6,1,no,northwest,2221.56
564,18,female,32.1,2,no,southeast,2801.26
776,40,male,32.3,2,no,northwest,6986.7
241,33,female,22.1,1,no,northeast,5354.07
13,56,female,39.8,0,no,southeast,11090.72
315,52,male,33.3,0,no,northeast,9722.77
600,18,female,39.2,0,no,southeast,1633.04
387,50,male,25.4,2,no,northwest,30284.64
166,20,female,37.0,5,no,southwest,4830.63
840,21,male,31.1,0,no,southwest,1526.31
20,60,female,36.0,0,no,northeast,13228.85
646,39,male,26.2,1,no,northwest,6123.57
1154,48,female,27.9,4,no,northwest,11015.17
831,36,female,25.8,0,no,northwest,5266.37
1267,24,male,31.1,0,yes,northeast,34254.05
562,27,male,30.5,0,no,southwest,2494.02
1304,42,male,24.6,2,yes,northeast,21259.38
686,42,male,26.1,2,no,northeast,7729.65
957,24,male,26.8,1,no,northwest,12609.89
189,29,female,32.1,2,no,northwest,4922.92
975,29,male,22.9,0,yes,northeast,16138.76
699,23,female,39.3,2,no,southeast,3500.61
510,56,male,32.1,1,no,northeast,11763.0
1082,38,male,20.0,1,no,northwest,5855.9
474,54,male,25.1,3,yes,southwest,25382.3
856,48,female,33.1,0,yes,southeast,40974.16
747,19,male,21.8,0,no,northwest,1627.28
252,54,male,34.2,2,yes,southeast,44260.75
21,30,female,32.4,1,no,southwest,4149.74
459,40,female,33.0,3,no,southeast,7682.67
1184,23,female,28.5,1,yes,southeast,18328.24
276,19,male,20.6,2,no,northwest,2803.7
955,31,male,39.5,1,no,southeast,3875.73
1215,18,male,39.1,0,no,northeast,12890.06
385,19,male,34.4,0,no,southwest,1261.86
805,45,female,35.8,0,no,northwest,7731.86
343,63,male,36.8,0,no,northeast,13981.85
769,38,female,19.5,2,no,northwest,6933.24
130,59,female,26.5,0,no,northeast,12815.44
871,26,female,29.5,1,no,southeast,3392.37
1123,27,female,32.4,1,no,northeast,18903.49
87,56,female,27.2,0,no,southwest,11073.18
330,61,female,36.4,1,yes,northeast,48517.56
1238,37,male,22.7,3,no,northeast,6985.51
466,60,female,28.7,1,no,southwest,13224.69
121,18,male,23.8,0,no,northeast,1705.62
1044,55,male,35.2,1,no,northeast,11394.07
1095,18,female,31.4,4,no,northeast,4561.19
1130,39,female,23.9,5,no,southeast,8582.3
1294,58,male,25.2,0,no,northeast,11931.13
860,37,female,47.6,2,yes,southwest,46113.51
1126,55,male,29.9,0,no,southwest,10214.64
